Date,TemperatureHighF,TemperatureAvgF,TemperatureLowF,DewpointHighF,DewpointAvgF,DewpointLowF,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxIn,PressureMinIn,WindSpeedMaxMPH,WindSpeedAvgMPH,GustSpeedMaxMPH,PrecipitationSumIn
2010-6-8,93.2,80.0,68.9,73.0,68.8,63.1,98,72,39,30.11,29.97,11,1,14,0.00 
2010-6-9,93.6,79.5,67.8,71.6,67.4,63.3,97,70,40,30.14,30.05,6,1,7,0.00 
2010-6-10,97.2,81.3,67.6,71.1,67.6,63.5,96,67,37,30.09,29.96,7,1,8,0.00 
2010-6-11,99.9,82.9,70.9,75.6,70.2,65.5,97,69,42,30.13,30.01,14,1,15,0.79 
2010-6-12,97.3,83.5,73.4,76.3,73.1,70.5,98,74,45,30.15,30.04,8,1,8,0.00 
2010-6-13,97.5,84.2,73.6,77.4,73.2,68.5,97,72,43,30.11,29.97,6,0,8,0.00 
2010-6-14,99.9,86.5,77.4,77.9,75.0,70.5,92,71,41,30.02,29.91,8,1,8,0.00 
2010-6-15,100.2,83.1,78.1,77.2,75.3,71.6,94,79,42,30.08,29.96,7,0,9,0.00 
2010-6-16,101.1,83.4,76.5,80.4,74.9,69.1,94,77,42,30.09,30.00,9,1,13,0.00 
2010-6-17,98.1,82.1,72.0,79.0,73.9,70.7,97,79,45,30.07,29.94,17,1,18,0.16 
2010-6-18,96.1,77.7,72.0,80.4,74.3,71.1,98,90,55,30.06,29.99,12,0,16,0.44 
2010-6-19,95.4,80.9,73.2,77.9,74.9,72.7,98,84,52,30.10,29.99,11,1,14,0.05 
2010-6-20,97.0,80.9,73.8,77.9,73.8,71.2,94,80,50,30.06,29.95,8,1,11,0.00 
2010-6-21,93.2,76.6,71.2,77.5,73.0,70.0,97,90,57,30.13,29.99,9,0,17,0.00 
2010-6-22,97.0,82.1,71.1,79.0,73.5,69.3,99,78,43,30.16,30.06,9,0,12,0.01 
2010-6-23,96.8,82.0,74.1,78.4,74.0,70.2,98,79,45,30.17,30.07,7,0,7,0.00 
2010-6-24,97.3,83.7,72.1,77.4,72.9,69.1,98,73,43,30.12,29.98,7,0,8,0.00 
2010-6-25,97.9,83.0,75.4,79.0,74.5,70.0,95,77,50,30.09,29.97,12,1,15,0.00 
